Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
27;14531;Development (Cambridge);journal;14779129, 09501991;12,279;Q1;315;521;1385;27972;14126;1383;9,98;53,69;United Kingdom;Western Europe;Company of Biologists Ltd;1987-2020;"Developmental Biology (Q1); Molecular Biology (Q1)"
28;21272;Journal of Experimental Medicine;journal;00221007, 15409538;12,049;Q1;432;416;1508;17985;22699;1432;15,35;43,23;United States;Northern America;Rockefeller University Press;1909-1910, 1945-2020;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
29;19482;Econometrica;journal;00129682, 14680262;11,873;Q1;179;53;148;753;430;148;2,6;14,21;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1974, 1977-1984, 1990-1991, 1994-2020;Economics and Econometrics (Q1)
30;26978;Advances in Physics;journal;14606976, 00018732;11,67;Q1;108;8;26;2220;286;25;12,5;277,5;United Kingdom;Western Europe;Taylor and Francis Ltd.;1952-2019;Condensed Matter Physics (Q1)
31;19066;Trends in Cell Biology;journal;09628924, 18793088;11,658;Q1;228;127;292;3887;3140;248;13,44;30,61;Netherlands;Western Europe;Elsevier Ltd.;1991-2020;Cell Biology (Q1)
32;19479;Annual Review of Pharmacology and Toxicology;journal;15454304, 03621642;11,602;Q1;197;18;66;290;1375;66;20,35;16,11;United States;Northern America;Annual Reviews Inc.;1965-1973, 1975-2020;"Pharmacology (Q1); Toxicology (Q1)"
33;28978;Journal of Economic Growth;journal;15737020, 13814338;11,491;Q1;80;16;53;669;167;53;1,59;41,81;Netherlands;Western Europe;Springer New York;1996-2020;Economics and Econometrics (Q1)
34;24404;Journal of Political Economy;journal;00223808, 1537534X;11,201;Q1;179;55;135;1727;502;135;2,98;31,4;United States;Northern America;University of Chicago;1969, 1973-1974, 1979-1985, 1987-2020;Economics and Econometrics (Q1)
35;120008;Annual Review of Physiology;journal;00664278, 15451585;11,161;Q1;197;36;96;4920;1581;96;18,32;136,67;United States;Northern America;Annual Reviews Inc.;1946-2020;Physiology (Q1)
36;28690;Advances in Cancer Research;journal;0065230X;10,73;Q1;89;18;51;886;769;51;16,55;49,22;United States;Northern America;Academic Press Inc.;1953-1956, 1958, 1961-1965, 1967-2020;"Cancer Research (Q1); Oncology (Q1)"
37;27165;Journal of Economic Literature;journal;220515;10,402;Q1;153;14;62;1471;515;62;6,59;105,07;United States;Northern America;American Economic Association;1981, 1984, 1986, 1996-2019;Economics and Econometrics (Q1)
